"id","cpf","salario"
"928","00633812612","7608.75"
"930","00113510838","3719.25"
"932","00531916330","8687.96"
"934","00373479384","9423.53"
"936","00071336456","7663.86"
"938","00668377964","9064.88"
"940","00496686225","8254.78"
"942","00234309142","2177.83"
"944","00107166577","6114.52"
"946","00798662011","1106.19"
"948","00374616078","8801.23"
"950","00779860741","2134.30"
"952","00618498378","7147.40"
"954","00327791921","383.21"
"956","00510414183","7741.32"
"958","00500228788","6590.40"
"960","00189579926","4340.80"
"962","00851728248","1397.47"
"964","00385551687","3461.57"
"966","00020476509","2201.95"
"968","00359383341","8520.62"
"970","00193132503","82.89"
"972","00296692832","6168.10"
"974","00024269814","9850.43"
"976","00418653350","1071.18"
"978","00522103351","3092.12"
"980","00991155868","2956.17"
"982","00944482669","3665.92"
"984","00819702207","1090.68"
"986","00351145341","2291.74"
"988","00696504978","4595.67"
"990","00677485303","7066.63"
"992","00639029897","8019.75"
"994","00008246422","3899.69"
"996","00435932245","4987.51"
"998","00684781207","199.64"
"1000","00195570397","9586.58"
